timestamp,latitude,longitude,weather_condition,road_type,traffic_density,vehicle_type,accident_severity
2023-01-03 13:37:00,40.81588968384974,-73.90576736345514,Rain,Highway,High,Truck,1
2023-01-03 14:22:00,40.84376164698983,-73.89906389904677,Rain,Intersection,Medium,Car,2
2023-01-03 17:42:00,40.746369031309996,-74.01452105834247,Clear,Highway,High,Car,0
2023-01-03 19:40:00,40.76184970352503,-73.92380405694837,Clear,Intersection,Medium,Car,0
2023-01-03 21:18:00,40.7207460329085,-74.0456060755546,Clear,Highway,Low,Car,0
2023-01-03 21:21:00,40.74516487755281,-73.93778701352514,Clear,Intersection,Low,Car,0
2023-01-03 23:52:00,40.78223219316927,-73.84213214020396,Rain,Intersection,Low,Car,0
2023-01-04 00:42:00,40.786682568785025,-73.98150750013664,Clear,City Street,Low,Motorcycle,0
2023-01-04 02:33:00,40.71433587593507,-73.92862292951088,Clear,City Street,Medium,Car,0
2023-01-04 02:48:00,40.78542650620968,-73.85004190368204,Clear,City Street,Congested,Car,1
2023-01-04 04:44:00,40.843459215514685,-73.9232819657502,Rain,Rural Road,Medium,Car,1
2023-01-04 10:29:00,40.80551274427136,-73.88905843701376,Clear,City Street,High,Car,1
2023-01-04 11:19:00,40.78548088544552,-74.03157672176907,Rain,Highway,Low,Motorcycle,0
2023-01-04 11:55:00,40.85510381610476,-73.84155228608441,Clear,City Street,Medium,Car,1
2023-01-04 12:33:00,40.81668712694218,-73.9565812366158,Fog,City Street,Medium,Car,0
2023-01-04 13:02:00,40.73342648346272,-73.99308764511203,Clear,City Street,Low,Car,0
2023-01-04 16:03:00,40.81833161310473,-74.04079757454261,Clear,Highway,High,Motorcycle,0
2023-01-04 17:15:00,40.745917461778504,-73.85679838297128,Rain,City Street,Medium,Car,0
2023-01-04 19:05:00,40.756835600078055,-73.88047318880957,Snow,City Street,Low,Car,1
2023-01-04 20:30:00,40.838191024033854,-73.97729793045198,Clear,City Street,Low,Truck,1
2023-01-04 21:24:00,40.773557417096114,-73.95944698502404,Clear,Intersection,High,Car,0
2023-01-04 22:01:00,40.80996105187454,-74.09097833175541,Clear,Intersection,Low,Car,0
2023-01-04 22:05:00,40.79245104856882,-73.80439271706757,Fog,City Street,Low,Car,1
2023-01-04 23:22:00,40.86496035828683,-73.85919863390524,Fog,City Street,Medium,Car,1
2023-01-04 23:58:00,40.75040113424228,-73.95415059346391,Snow,City Street,High,Car,2
2023-01-05 04:13:00,40.82382631017402,-73.81288311105591,Clear,City Street,Congested,Motorcycle,0
2023-01-05 04:53:00,40.82660578108155,-74.04591171441413,Clear,Intersection,Medium,Car,0
2023-01-05 06:03:00,40.88042444764908,-74.09307009797271,Clear,Intersection,Low,Truck,0
2023-01-05 10:09:00,40.893894564085436,-73.83419429458692,Fog,Highway,High,Motorcycle,2
2023-01-05 11:00:00,40.81383495823928,-73.97917423245279,Rain,Intersection,Medium,Car,0
2023-01-05 11:26:00,40.89501378451974,-73.80341684855414,Clear,Highway,Medium,Car,1
2023-01-05 15:17:00,40.8854665230348,-73.80970131725745,Fog,Intersection,Medium,Car,0
2023-01-05 16:36:00,40.834291606260074,-73.91560729362216,Clear,Intersection,Low,Car,2
2023-01-05 16:55:00,40.805137211183904,-73.8537469009264,Clear,City Street,Medium,Car,0
2023-01-05 17:27:00,40.758679228957156,-73.80117626132795,Clear,City Street,Low,Car,0
2023-01-05 18:41:00,40.83355895856131,-74.08436660141705,Fog,Highway,Low,Car,2
2023-01-06 01:13:00,40.7099169941048,-73.98852537019884,Rain,Intersection,Medium,Car,0
2023-01-06 01:19:00,40.79666228973946,-74.03712645541849,Rain,Highway,Congested,Bus,0
2023-01-06 02:59:00,40.89131417149043,-74.00577678707404,Rain,City Street,Low,Motorcycle,1
2023-01-06 04:48:00,40.76614055767986,-73.90423951051771,Clear,Intersection,Medium,Car,0
2023-01-06 05:52:00,40.742432252586205,-74.06915568413068,Clear,City Street,Medium,Motorcycle,0
2023-01-06 07:43:00,40.83220005976417,-73.8244759472709,Clear,Highway,High,Car,1
2023-01-06 11:46:00,40.78460723581644,-73.94574883598771,Fog,Intersection,Medium,Car,0
2023-01-06 13:31:00,40.789022206944026,-74.05128923264208,Rain,Intersection,Low,Car,1
2023-01-07 00:26:00,40.84087721570347,-73.9657765637139,Clear,Intersection,Congested,Truck,0
2023-01-07 03:37:00,40.77094396117976,-73.89175338806233,Clear,City Street,Medium,Car,0
2023-01-07 04:42:00,40.83503788310232,-73.95760628301723,Rain,Intersection,Medium,Car,2
2023-01-07 05:14:00,40.81399656380906,-73.8605393598056,Snow,City Street,High,Car,1
2023-01-07 05:27:00,40.8173178801109,-74.06918298789394,Fog,Intersection,Medium,Car,1
2023-01-07 07:27:00,40.89493798409049,-73.95228146235584,Rain,Intersection,High,Car,1
2023-01-07 09:06:00,40.88649835595554,-73.88132587336857,Rain,Intersection,Low,Motorcycle,2
2023-01-07 09:33:00,40.837249987171504,-73.86159612947063,Snow,Highway,Congested,Car,2
2023-01-07 10:32:00,40.74015334581187,-73.95056384507224,Fog,Highway,Congested,Car,2
2023-01-07 12:55:00,40.79934122593935,-73.95918538482522,Rain,Intersection,Congested,Truck,1
2023-01-07 13:22:00,40.84870183042877,-73.95055585287649,Clear,Intersection,High,Motorcycle,0
2023-01-07 15:02:00,40.80416664128951,-73.80550030502103,Clear,Rural Road,High,Motorcycle,1
2023-01-07 15:04:00,40.764649063411895,-73.92221525652056,Clear,City Street,Medium,Truck,0
2023-01-07 15:34:00,40.742800009887226,-74.0451933195278,Rain,Highway,Medium,Car,2
2023-01-07 15:44:00,40.884737868204375,-73.82214778677907,Clear,Intersection,Medium,Bus,0
2023-01-07 19:56:00,40.884641767174436,-73.80509545312492,Clear,City Street,High,Car,0
2023-01-07 22:38:00,40.79168517480898,-74.03819340009551,Clear,Intersection,Low,Car,0
2023-01-08 00:50:00,40.77779662032009,-73.83838107924556,Clear,Intersection,Medium,Car,0
2023-01-08 03:39:00,40.751910449732996,-73.89726457389862,Snow,Intersection,Medium,Car,1
2023-01-08 04:31:00,40.76126891504043,-73.95691567014313,Clear,Highway,High,Car,0
2023-01-08 06:42:00,40.85007062448167,-73.85732721117306,Clear,Highway,Medium,Truck,0
2023-01-08 07:31:00,40.7571855119308,-73.84596822552274,Clear,Rural Road,Low,Car,0
2023-01-08 07:58:00,40.88013131015368,-73.89207746610884,Clear,Rural Road,Congested,Truck,0
2023-01-08 08:26:00,40.81006047868719,-74.02590934560894,Clear,Intersection,Low,Car,1
2023-01-08 09:45:00,40.72560354172833,-73.80485095709662,Clear,City Street,Congested,Car,1
2023-01-08 10:15:00,40.83006466462348,-74.09871743934936,Clear,Highway,High,Car,1
2023-01-08 10:59:00,40.855747631385036,-74.0909825063394,Rain,Intersection,Low,Motorcycle,2
2023-01-08 11:33:00,40.82334761611498,-74.06076026656758,Rain,City Street,High,Truck,1
2023-01-08 14:25:00,40.82569356995736,-74.0586080600578,Fog,Highway,Low,Car,1
2023-01-08 17:20:00,40.858601631824506,-74.00492129901532,Rain,Intersection,Low,Car,0
2023-01-08 22:57:00,40.84655376699998,-73.96529832622588,Clear,Intersection,High,Car,1
2023-01-09 00:01:00,40.793126384311826,-73.82110042010986,Clear,Highway,Low,Truck,0
2023-01-09 02:19:00,40.751848027078054,-74.04928874509123,Rain,City Street,Medium,Car,2
2023-01-09 05:08:00,40.78925733369487,-73.93211551729364,Rain,City Street,Medium,Car,2
2023-01-09 07:01:00,40.83508088742706,-73.83341745286936,Clear,City Street,High,Car,2
2023-01-09 09:57:00,40.767363822193495,-73.89042855446078,Snow,Intersection,High,Car,0
2023-01-09 12:08:00,40.70121666218299,-73.87104406861116,Clear,Intersection,Medium,Car,0
2023-01-09 12:27:00,40.86430807643932,-73.80790549015691,Clear,City Street,High,Car,0
2023-01-09 13:12:00,40.834632146556054,-74.0769699788565,Rain,Highway,Low,Car,1
2023-01-09 14:09:00,40.78542131256741,-73.87837559128931,Fog,City Street,Medium,Car,0
2023-01-09 14:39:00,40.830050143929235,-73.91829743334804,Rain,Highway,Congested,Truck,2
2023-01-09 20:17:00,40.71351057659551,-74.07211576006388,Fog,Rural Road,High,Car,0
2023-01-10 00:31:00,40.85991901598841,-74.00641833535295,Rain,City Street,Congested,Motorcycle,1
2023-01-10 02:37:00,40.86818497891797,-74.08189634837943,Fog,City Street,Congested,Car,1
2023-01-10 05:26:00,40.708177419498135,-73.98831892256199,Clear,Intersection,High,Car,0
2023-01-10 06:25:00,40.80463661350365,-73.82090792610393,Clear,Highway,High,Car,0
2023-01-10 07:20:00,40.77127311866421,-73.98763471097901,Rain,City Street,Medium,Car,2
2023-01-10 08:48:00,40.75828781666043,-73.93451914020477,Clear,Intersection,Low,Motorcycle,1
2023-01-10 08:58:00,40.79285408099279,-73.94557665181328,Fog,Intersection,High,Car,0
2023-01-10 10:32:00,40.84108653913948,-73.89196474767073,Snow,Intersection,High,Car,2
2023-01-10 11:06:00,40.741258363014474,-73.88227904699728,Rain,City Street,Medium,Car,0
2023-01-10 14:16:00,40.88842849645608,-73.80871791489811,Rain,City Street,Medium,Car,1
2023-01-10 16:16:00,40.86090651914862,-74.01210343882121,Clear,Highway,High,Car,1
2023-01-10 17:11:00,40.784872757736274,-73.84122769378156,Clear,City Street,High,Car,2
2023-01-10 17:16:00,40.89154082140129,-73.84951975544207,Clear,Highway,Congested,Car,0
2023-01-10 18:02:00,40.811343725146635,-73.86520112193116,Clear,Highway,High,Truck,0
2023-01-10 20:45:00,40.842185927349576,-73.91385937618455,Fog,Intersection,Low,Car,0
2023-01-10 23:29:00,40.85108622012441,-73.88629120096715,Clear,Highway,Medium,Car,0
2023-01-11 01:49:00,40.79869774274767,-73.80434931250895,Snow,Intersection,Congested,Car,1
2023-01-11 05:11:00,40.816393961502364,-73.82398454793496,Fog,Highway,High,Car,0
2023-01-11 05:33:00,40.7139571568001,-73.92436449094276,Clear,Rural Road,Medium,Car,0
2023-01-11 06:33:00,40.87997590411423,-73.83641072214809,Fog,Rural Road,Low,Car,1
2023-01-11 08:49:00,40.830020110530114,-74.04170370798482,Fog,Intersection,Congested,Motorcycle,1
2023-01-11 09:01:00,40.77854170642885,-73.99170856320411,Clear,Intersection,High,Truck,1
2023-01-11 12:24:00,40.803761662416875,-74.06228552766459,Clear,Rural Road,Low,Car,0
2023-01-11 12:33:00,40.87997145636984,-73.9904349134598,Clear,Highway,Medium,Car,0
2023-01-11 13:31:00,40.7034936260558,-74.09001066493045,Rain,City Street,Low,Car,1
2023-01-11 13:38:00,40.82451176066433,-73.89699937330023,Rain,Intersection,Medium,Car,1
2023-01-11 15:25:00,40.82356305595178,-73.89031728240943,Rain,Intersection,Medium,Truck,1
2023-01-11 20:20:00,40.80410542256183,-73.8801984089998,Rain,Highway,Congested,Motorcycle,1
2023-01-11 21:14:00,40.8206377646809,-73.86126629950849,Rain,Highway,Congested,Motorcycle,1
2023-01-11 21:35:00,40.72977136078999,-73.82850604986409,Clear,Rural Road,Low,Motorcycle,0
2023-01-12 00:41:00,40.758409111619585,-74.00127067230777,Rain,City Street,Medium,Motorcycle,1
2023-01-12 02:03:00,40.775176570733,-73.97218915117813,Clear,City Street,Low,Car,0
2023-01-12 02:41:00,40.715519116395235,-73.99162148127888,Clear,Highway,Low,Car,2
2023-01-12 05:16:00,40.819040036181086,-73.89010959989959,Fog,Highway,Medium,Car,2
2023-01-12 06:01:00,40.75051371182754,-73.82351952010276,Clear,Intersection,Low,Car,0
2023-01-12 09:24:00,40.89980189233377,-73.86111526851148,Rain,Highway,Low,Motorcycle,1
2023-01-12 09:31:00,40.74950122571396,-74.05775423455985,Clear,Intersection,High,Car,1
2023-01-12 12:42:00,40.80201383779014,-74.07098684940784,Clear,Intersection,Medium,Motorcycle,1
2023-01-12 14:48:00,40.74860038282576,-73.82220253982403,Clear,City Street,Low,Bus,0
2023-01-12 16:09:00,40.74181696843175,-73.82043501544906,Clear,City Street,Medium,Car,2
2023-01-12 16:15:00,40.731341859152586,-73.94612109366261,Clear,Highway,Medium,Truck,1
2023-01-12 16:36:00,40.88133662772966,-73.95829241394037,Clear,Highway,Low,Car,1
2023-01-12 18:56:00,40.725268980405644,-74.00767378678067,Clear,Rural Road,Medium,Motorcycle,0
2023-01-12 20:10:00,40.71223435103319,-73.99117345163964,Rain,Intersection,Medium,Car,0
2023-01-12 22:05:00,40.72821955928579,-74.0768932540279,Clear,City Street,High,Truck,0
2023-01-12 22:11:00,40.78457121571337,-73.88436624582458,Fog,Intersection,Medium,Car,0
2023-01-12 22:30:00,40.86335351462591,-74.0453060029219,Clear,City Street,High,Car,1
2023-01-13 02:42:00,40.8805480922184,-74.00283841499383,Rain,Rural Road,Medium,Car,0
2023-01-13 04:40:00,40.85708421852957,-73.85474066843865,Clear,Intersection,High,Car,0
2023-01-13 06:43:00,40.859998334511104,-74.02771438720892,Snow,Highway,Low,Car,1
2023-01-13 06:56:00,40.73244710962812,-73.8148674592355,Rain,Intersection,High,Motorcycle,0
2023-01-13 07:24:00,40.82076947303626,-74.03356441787199,Fog,Intersection,Medium,Car,1
2023-01-13 08:56:00,40.82691410170685,-73.80810958651719,Snow,City Street,Medium,Truck,0
2023-01-13 10:59:00,40.83559900751178,-73.94050125814066,Clear,City Street,Medium,Car,0
2023-01-13 12:41:00,40.89411050297702,-73.88972130910517,Snow,Intersection,Medium,Car,0
2023-01-13 15:34:00,40.81040647516797,-74.00258393153305,Rain,Intersection,Medium,Motorcycle,1
2023-01-13 16:31:00,40.72704557019104,-74.03817892427381,Clear,Highway,Low,Car,1
2023-01-13 16:53:00,40.82951711776036,-73.9122691754754,Rain,Intersection,Low,Truck,0
2023-01-13 17:36:00,40.80627835862769,-73.87882536337298,Clear,Highway,Medium,Car,1
2023-01-13 18:43:00,40.71794227521061,-73.9308278337582,Clear,Intersection,Medium,Car,0
2023-01-13 19:32:00,40.84037110213012,-73.93473822634581,Rain,Intersection,Medium,Car,1
2023-01-13 22:16:00,40.83475276692595,-74.0787187044575,Fog,Highway,Medium,Car,1
2023-01-13 23:46:00,40.835009324457985,-74.01639154370915,Clear,City Street,High,Car,1
2023-01-14 06:28:00,40.825215458211225,-73.92783423978723,Clear,Intersection,High,Car,1
2023-01-14 08:14:00,40.78688465187264,-73.88605071937279,Clear,City Street,Low,Car,0
2023-01-14 09:11:00,40.86714844904493,-73.8182378948805,Clear,Highway,Low,Motorcycle,1
2023-01-14 09:43:00,40.882094325234256,-73.98275983396196,Fog,Highway,Low,Motorcycle,1
2023-01-14 13:01:00,40.84004293176907,-74.03718559996626,Clear,Intersection,Medium,Truck,2
2023-01-14 14:30:00,40.855915289772256,-73.83821634753672,Clear,City Street,Low,Car,1
2023-01-14 15:53:00,40.878757485402,-73.86300702598146,Clear,Highway,Low,Truck,1
2023-01-14 19:56:00,40.71550628232184,-73.85970377739014,Clear,Intersection,Low,Car,0
2023-01-15 03:12:00,40.856693710287665,-73.88950308937655,Snow,City Street,Medium,Car,1
2023-01-15 03:39:00,40.83999796691043,-73.80368523937659,Fog,Highway,Medium,Truck,1
2023-01-15 03:48:00,40.88635659865525,-73.84146454603868,Fog,City Street,High,Car,1
2023-01-15 09:03:00,40.80056336982471,-73.93417445002946,Rain,Rural Road,Low,Car,2
2023-01-15 09:59:00,40.86773944805901,-73.8454116603837,Rain,Highway,Medium,Car,0
2023-01-15 10:36:00,40.71848422009064,-73.95890285233621,Clear,City Street,High,Truck,0
2023-01-15 14:28:00,40.87244192815065,-73.8242237260421,Clear,City Street,Medium,Truck,0
2023-01-15 15:07:00,40.864318314823514,-73.80161121360253,Clear,Intersection,High,Car,2
2023-01-15 18:47:00,40.743615356412235,-74.05238918629249,Rain,Intersection,Congested,Car,0
2023-01-15 20:43:00,40.86195966587475,-73.8034749525479,Clear,Intersection,Low,Motorcycle,0
2023-01-15 22:36:00,40.71000445338331,-73.88705972037926,Clear,City Street,Low,Motorcycle,1
2023-01-16 05:05:00,40.70855665619676,-74.08207847828062,Fog,Highway,Medium,Car,1
2023-01-16 07:11:00,40.84329797266651,-74.06303369637885,Rain,Highway,Medium,Car,2
2023-01-16 12:02:00,40.713585162873265,-74.01382025070247,Rain,Intersection,Medium,Truck,1
2023-01-16 16:15:00,40.87062236484734,-73.8917569755121,Rain,Intersection,Congested,Car,0
2023-01-16 16:50:00,40.705067530589595,-73.80111852965904,Snow,Intersection,Low,Car,0
2023-01-16 17:29:00,40.832129577827715,-74.05542377171358,Fog,Intersection,Medium,Car,0
2023-01-16 17:51:00,40.74946893422867,-74.08707570899821,Clear,Rural Road,Congested,Car,0
2023-01-16 18:40:00,40.87464878914826,-74.06756321781117,Clear,Highway,Low,Car,1
2023-01-16 20:39:00,40.82769558332265,-74.05353069435311,Clear,City Street,Low,Car,0
2023-01-16 21:37:00,40.73795735548692,-73.95049261971167,Clear,Highway,Medium,Truck,1
2023-01-16 22:06:00,40.7170933602975,-74.02944933913149,Clear,Highway,High,Bus,0
2023-01-16 22:13:00,40.81024826362452,-73.85038885719706,Fog,City Street,Congested,Truck,1
2023-01-16 22:39:00,40.869443233552005,-74.01479139953916,Clear,Intersection,Medium,Car,0
2023-01-16 23:15:00,40.892470026687654,-73.8201803188739,Snow,Rural Road,High,Truck,1
2023-01-17 00:24:00,40.78586426839353,-73.90946983875463,Clear,Intersection,High,Car,0
2023-01-17 04:38:00,40.7655899136643,-73.86972146452405,Fog,City Street,Medium,Car,0
2023-01-17 06:47:00,40.78586400857083,-73.98817418397984,Rain,Intersection,Medium,Motorcycle,0
2023-01-17 07:30:00,40.883185549220755,-74.06710085110996,Fog,Highway,Medium,Car,2
2023-01-17 08:13:00,40.83422249967489,-74.00870691705602,Rain,Highway,Medium,Motorcycle,0
2023-01-17 08:49:00,40.890967841935314,-73.94319205904675,Rain,Highway,Medium,Truck,1
2023-01-17 10:58:00,40.864796077831414,-73.9931682301443,Rain,Intersection,High,Bus,1
2023-01-17 11:06:00,40.89319889891149,-74.06648165179318,Fog,Intersection,Medium,Car,2
2023-01-17 11:27:00,40.74670836038528,-74.08644967305075,Snow,City Street,Medium,Truck,1
2023-01-17 14:01:00,40.897835846653564,-74.01138864518775,Rain,Intersection,Medium,Car,2
2023-01-17 16:55:00,40.74884602340192,-73.9601063352162,Fog,City Street,Medium,Car,0
2023-01-17 17:20:00,40.79121342899418,-74.02387538388153,Clear,Highway,Medium,Car,0
2023-01-17 23:27:00,40.80934738959677,-73.96989122489752,Clear,Highway,High,Motorcycle,0
2023-01-17 23:33:00,40.8947603706566,-73.97943914530522,Rain,Intersection,High,Car,1
2023-01-18 11:51:00,40.875527774317554,-74.06399611334226,Rain,Intersection,Medium,Motorcycle,0
2023-01-18 14:32:00,40.867503863072955,-73.97981672286079,Clear,Highway,Medium,Car,0
2023-01-18 15:11:00,40.84830802738953,-73.94482445236841,Rain,City Street,Medium,Car,1
2023-01-18 16:33:00,40.81774461806142,-73.95468092526508,Snow,City Street,High,Car,1
2023-01-18 17:52:00,40.83687708491841,-74.05101249540073,Rain,City Street,Medium,Truck,0
2023-01-18 20:12:00,40.741672157814975,-73.94203333293964,Fog,City Street,Low,Motorcycle,0
2023-01-18 21:12:00,40.70381985596835,-73.91424486644465,Rain,Highway,Low,Car,1
2023-01-19 02:09:00,40.7603678240495,-73.99540665649327,Clear,City Street,Low,Car,0
2023-01-19 05:34:00,40.87754184635046,-73.99467712837702,Fog,City Street,High,Car,2
2023-01-19 06:05:00,40.80216097743551,-73.81564461343976,Clear,City Street,Medium,Car,2
2023-01-19 09:40:00,40.70911619741564,-73.8443086421075,Clear,City Street,Low,Car,0
2023-01-19 10:01:00,40.76175840596012,-73.90109296850268,Rain,Intersection,High,Motorcycle,0
2023-01-19 10:46:00,40.88715936817909,-73.96606641833883,Rain,Highway,Low,Car,1
2023-01-19 11:07:00,40.815696471946175,-74.04851299443463,Rain,City Street,High,Bus,0
2023-01-19 13:40:00,40.87948139383847,-74.00877455144646,Snow,Intersection,Low,Car,1
2023-01-19 17:00:00,40.85943102116317,-73.97340535016802,Rain,Intersection,Low,Car,0
2023-01-19 17:07:00,40.73684989489889,-73.87180561812659,Clear,Rural Road,Low,Car,0
2023-01-19 17:48:00,40.897735108629156,-73.83407508365808,Snow,Highway,Medium,Car,2
2023-01-19 21:04:00,40.787994753408476,-74.01331864482847,Fog,Intersection,Medium,Car,0
2023-01-19 23:55:00,40.779992014676495,-73.83390411194794,Snow,Highway,Low,Car,2
2023-01-20 01:49:00,40.808213571731365,-74.00007759611243,Clear,City Street,Congested,Car,2
2023-01-20 03:45:00,40.76420430525489,-73.96327268914156,Fog,Intersection,Medium,Car,0
2023-01-20 04:36:00,40.724847341111165,-74.0002988459339,Clear,City Street,Congested,Motorcycle,0
2023-01-20 05:02:00,40.70264625583873,-74.04239706704291,Snow,City Street,High,Car,2
2023-01-20 05:05:00,40.73482184950665,-73.91313715529381,Fog,Intersection,Medium,Car,2
2023-01-20 08:45:00,40.88943383834115,-74.04656022090099,Rain,Highway,Medium,Bus,0
2023-01-20 08:53:00,40.89386344065387,-74.04947576795846,Rain,Intersection,Medium,Truck,0
2023-01-20 08:58:00,40.79322822959156,-73.86206568699309,Rain,Intersection,Low,Truck,0
2023-01-20 10:15:00,40.74304412905328,-74.02954791853932,Snow,Highway,High,Truck,2
2023-01-20 12:12:00,40.74887344570554,-73.90257033455775,Clear,Intersection,High,Car,1
2023-01-20 13:02:00,40.86258096615056,-73.98151187171689,Rain,City Street,Medium,Bus,0
2023-01-20 15:08:00,40.8765297527639,-73.81964065452269,Clear,Intersection,Congested,Motorcycle,1
2023-01-20 16:11:00,40.82874970648859,-73.8229219108616,Rain,Highway,High,Car,1
2023-01-20 17:35:00,40.75077550966113,-73.88088810202673,Rain,Intersection,High,Truck,2
2023-01-20 21:13:00,40.751595165858895,-74.01950068046419,Rain,City Street,Medium,Car,0
2023-01-21 04:26:00,40.75315988438574,-73.98526688848375,Clear,City Street,Low,Motorcycle,0
2023-01-21 05:31:00,40.73091280132998,-73.85690024772724,Rain,Highway,Medium,Car,0
2023-01-21 09:09:00,40.73385433546786,-73.92650687096221,Clear,City Street,High,Motorcycle,1
2023-01-21 09:42:00,40.765451989033906,-74.04719015967599,Clear,Intersection,High,Car,1
2023-01-21 11:10:00,40.74645314515951,-73.86327295452108,Rain,Intersection,High,Car,1
2023-01-21 12:33:00,40.77944146086138,-73.93856546235163,Rain,Intersection,Low,Car,0
2023-01-21 14:15:00,40.883006484694214,-74.06403477852453,Fog,City Street,Medium,Bus,2
2023-01-21 14:32:00,40.879448665038325,-73.83649805398699,Clear,Intersection,Medium,Car,1
2023-01-21 17:04:00,40.899445440925824,-73.92259982623177,Snow,City Street,Medium,Car,0
2023-01-21 18:37:00,40.74521983872534,-74.05188796046843,Fog,Rural Road,High,Car,0
2023-01-21 18:52:00,40.75742182218551,-74.05837201038435,Snow,City Street,Medium,Motorcycle,0
2023-01-21 19:17:00,40.791858712235914,-73.84364847230454,Fog,Rural Road,Medium,Car,0
2023-01-21 19:34:00,40.70312148733105,-74.0892049211374,Snow,Intersection,Medium,Motorcycle,2
2023-01-21 22:11:00,40.85047228847948,-73.87410015736991,Clear,Intersection,Low,Car,1
2023-01-21 22:42:00,40.831513661156926,-73.90553431920782,Rain,Highway,Medium,Car,0
2023-01-21 23:37:00,40.80504365032618,-73.8067634194995,Fog,Intersection,Medium,Car,1
2023-01-22 00:28:00,40.82120201474943,-74.03524262977044,Clear,Highway,High,Truck,0
2023-01-22 03:12:00,40.8345835648574,-73.86088113503932,Rain,Highway,Low,Car,0
2023-01-22 08:23:00,40.73217069962986,-74.0529064814608,Clear,Intersection,Medium,Motorcycle,0
2023-01-22 10:19:00,40.8583150192786,-74.00987704236395,Clear,Highway,High,Car,0
2023-01-22 13:15:00,40.79118488486388,-73.96429466929547,Clear,Intersection,High,Car,2
2023-01-22 13:29:00,40.75575115989373,-73.92373307940423,Clear,City Street,Congested,Car,0
2023-01-22 18:56:00,40.859017492132054,-73.99458213334664,Fog,Rural Road,Low,Motorcycle,0
2023-01-22 19:49:00,40.80092848753181,-74.04984086115955,Snow,Intersection,Low,Car,1
2023-01-22 20:53:00,40.893686255178494,-74.09080215295494,Rain,Intersection,Medium,Motorcycle,1
2023-01-22 21:54:00,40.87289790711909,-73.89522842390797,Clear,City Street,Medium,Car,0
2023-01-22 22:39:00,40.75131464519801,-74.09340518797967,Snow,Highway,Low,Motorcycle,1
2023-01-23 03:13:00,40.7011759138685,-73.98004006108901,Clear,Rural Road,Low,Car,0
2023-01-23 06:43:00,40.86718191644119,-74.00086579380049,Clear,City Street,Medium,Car,1
2023-01-23 07:31:00,40.80752114134528,-73.8365427467772,Rain,Rural Road,Congested,Motorcycle,1
2023-01-23 09:09:00,40.79249804208112,-73.96622281201459,Snow,Intersection,Low,Car,2
2023-01-23 12:06:00,40.85725646145804,-73.93711727826067,Clear,Intersection,Medium,Car,0
